LJ SAO PAULO 11,01127000,RUA NEWTON PRADO 1439 SL 4,BOM RETIRO,SAO PAULO,SP
CO SAO PAULO 01,01137000,RUA CRUZEIRO 927,BARRA FUNDA,SAO PAULO,SP
LJ SAO PAULO 03,01154010,RUA LOPES CHAVES 459,BARRA FUNDA,SAO PAULO,SP
LJ SAO PAULO 35,01201060,RUA ANA CINTRA 65,CAMPOS ELISEOS,SAO PAULO,SP
CO SAO PAULO 14,01526000,RUA BUENO DE ANDRADE 336,ACLIMACAO,SAO PAULO,SP
LJ SAO PAULO 09,02019050,RUA CONEGO MANUEL VAZ 74,SANTANA,SAO PAULO,SP
LJ SAO PAULO 05,02122030,RUA TIMBURI 143,VILA MARIA ALTA,SAO PAULO,SP
CO SAO PAULO 17,02519200,AV CASA VERDE 2138/2142,CASA VERDE,SAO PAULO,SP
CO SAO PAULO 02,02721031,RUA ROQUE DE MORAIS 77,LIMAO,SAO PAULO,SP
LJ SAO PAULO 01,02728000,RUA MANOEL JUSTINIANO QUINTAO 40,VILA PALMEIRAS,SAO PAULO,SP
LJ SAO PAULO 19,02915100,AVENIDA PAULA FERREIRA 1909,VILA PIRITUBA,SAO PAULO,SP
LJ SAO PAULO 10,03010000,RUA BARAO DE LADARIO 670 LJ SUC S02,BRAS,SAO PAULO,SP
LJ SAO PAULO 18,03043040,RUA PRUDENTE DE MORAIS 101,BRAS,SAO PAULO,SP
CO SAO PAULO 03,03057010,RUA BELEM 333,BELENZINHO,SAO PAULO,SP
LJ SAO PAULO 15,03111001,RUA JOAO ANTONIO DE OLIVEIRA 1439 SALA 4,MOOCA,SAO PAULO,SP
CO SAO PAULO 04,03412030,RUA CACAQUERA 603,VILA ANTONINA,SAO PAULO,SP
CO SAO PAULO 15,03514001,RUA JOAQUIM MARRA 935,VILA TALARICO,SAO PAULO,SP
CO SAO PAULO 16,03811020,RUA RUI PIROZZELLI 131,JARDIM BELEM,SAO PAULO,SP
LJ SAO PAULO 23,04058050,RUA ELISA RODRIGUES 234 A,PLANALTO PAULISTA,SAO PAULO,SP
CO SAO PAULO 05,04140110,RUA JUREIA 37 / 41,CHACARA INGLESA( VILA MARIANA),SAO PAULO,SP
LJ SAO PAULO 06,04363001,AVENIDA MASCOTE 856,VILA MASCOTE,SAO PAULO,SP
LJ SAO PAULO 26,04617015,RUA VIEIRA DE MORAIS 1751,CAMPO BELO,SAO PAULO,SP
LJ SAO PAULO 16,04691110,RUA DOS MARIANOS 283,VILA GEA,SAO PAULO,SP
LJ SAO PAULO 17,04747030,RUA BORBA GATO 200,SANTO AMARO,SAO PAULO,SP
CO SAO PAULO 10,04761020,RUA OLINDA 257,VILA SOCORRO,SAO PAULO,SP
LJ SAO PAULO 02,04781040,RUA JOAO PEDRO 280,CAPELA DO SOCORRO,SAO PAULO,SP
LJ SAO PAULO 24,05005000,RUA TURIASSU 1350,PERDIZES,SAO PAULO,SP
LJ SAO PAULO 29,05093050,RUA MARTINHO DE CAMPOS 217,VILA ANASTACIO,SAO PAULO,SP
SAO CONFINADOS CPA,05157030,AVENIDA JORNALISTA PAULO ZINGG 810,JARDIM JARAGUA (SAO DOMINGOS),SAO PAULO,SP
ARM FIAT,05157030,AVENIDA JORNALISTA PAULO ZINGG 810,JARDIM JARAGUA SAO DOMINGOS,SAO PAULO,SP
JADLOG SEDE,05157030,AVENIDA JORNALISTA PAULO ZINGG 810,JARDIM JARAGUA (SAO DOMINGOS),SAO PAULO,SP
LJ SAO PAULO 22,05404012,RUA ARTUR DE AZEVEDO 960,PINHEIROS,SAO PAULO,SP
CO SAO PAULO 07,05519040,RUA KEISUKE KOZA 143,JARDIM TRUSSARDI,SAO PAULO,SP
LJ SAO PAULO 36,05530000,RUA ANTONIO MARIANI 61,INSTITUTO DE PREVIDENCIA,SAO PAULO,SP
CO OSASCO 02,06114100,RUA ALBERTO CORTEZ 96,PESTANA,OSASCO,SP
LJ OSASCO 01,06213080,RUA ARNALDO DE OLIVEIRA BARRETO 489,PRESIDENTE ALTINO,OSASCO,SP
CO CARAPICUIBA 01,06382280,RUA SANTA DOLORES 405,VILA SILVIANIA,CARAPICUIBA,SP
LJ BARUERI 04,06411050,RUA INDEPENDENCIA 45,VILA BOA VISTA,BARUERI,SP
LJ BARUERI 03,06453053,CALCADA DOS CRAVOS 07,CONDOMINIO CENTRO COMERCIAL ALPHAVILLE,BARUERI,SP
LJ BARUERI 02,06460020,AVENIDA TUCUNARE 975,TAMBORE,BARUERI,SP
LJ SANTANA DE PARNAIBA 01,06534030,ESTRADA TENENTE MARQUES 5751 LJ09,PARQUE PANORAMA II FAZENDINHA,SANTANA DE PARNAIBA,SP
LJ ITAPEVI 01,06693120,RUA AGOSTINHO FERREIRA CAMPOS 446,CIDADE DA SAUDE,ITAPEVI,SP
CO COTIA 01,06710700,ESTRADA VELHA DE SAO PAULO PARANA 170,JARDIM LAMBRETA,COTIA,SP
LJ TABOAO DA SERRA 01,06754010,R THEREZA MARIA LUIZETTO 59,VILA SANTA LUZIA,TABOAO DA SERRA,SP
